,Proximity_to_Hole_from_Rough_RANK THIS WEEK,Proximity_to_Hole_from_Rough_RANK LAST WEEK,Proximity_to_Hole_from_Rough_PLAYER NAME,Proximity_to_Hole_from_Rough_ROUNDS,Proximity_to_Hole_from_Rough_AVG DTP,Proximity_to_Hole_from_Rough_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Rough_# OF SHOTS,Proximity_to_Hole_from_Rough_SCRAMBLING RANK
151,T150,T150,Kevin Kisner,69,"8' 10""",1165.333,132,40
152,T150,T150,Billy Mayfair,90,"8' 10""",1828.3329999999999,207,15
153,T150,T150,John Merrick,83,"8' 10""",1362.5829999999999,154,146
154,T150,T150,D.A. Points,88,"8' 10""",1622.0,183,112
155,T150,T150,Michael Thompson,80,"8' 10""",1582.75,179,136
156,T157,T157,Cameron Beckman,81,"8' 11""",1519.6670000000001,170,170
157,T157,T157,Harrison Frazar,56,"8' 11""",1038.083,116,155
158,T157,T157,Matt Jones,53,"8' 11""",907.8330000000001,102,61
159,T157,T157,John Senden,81,"8' 11""",1661.75,186,94
160,T161,T161,Blake Adams,107,"9' 0""",1751.25,194,123
161,T161,T161,Erik Compton,81,"9' 0""",1640.5829999999999,182,161
162,T161,T161,Ben Curtis,62,"9' 0""",977.3330000000001,109,66
163,T161,T161,Tommy Gainey,98,"9' 0""",2004.6670000000001,223,162
164,T161,T161,J.J. Henry,93,"9' 0""",1311.0,145,89
165,T161,T161,Patrick Sheehan,58,"9' 0""",1142.333,127,131
166,T161,T161,Lee Westwood,60,"9' 0""",1003.9169999999999,112,191
167,T168,T168,Sangmoon Bae,81,"9' 1""",1935.4170000000001,213,182
168,T168,T168,Charlie Beljan,61,"9' 1""",923.4169999999999,102,167
169,T168,T168,Nathan Green,73,"9' 1""",1140.833,126,88
170,T168,T168,Martin Laird,77,"9' 1""",1671.8329999999999,184,125
171,T168,T168,Richard Lee,71,"9' 1""",1357.1670000000001,150,143
172,T168,T168,Johnson Wagner,88,"9' 1""",1638.5,180,104
173,T168,T168,Gary Woodland,70,"9' 1""",1465.5829999999999,161,171
174,T175,T175,Bill Haas,79,"9' 2""",1588.25,174,27
175,T175,T175,Derek Lamely,64,"9' 2""",1308.25,143,95
176,T175,T175,Hunter Mahan,88,"9' 2""",1344.3329999999999,146,157
177,T175,T175,Brendan Steele,77,"9' 2""",1551.25,170,135
178,179,179,Louis Oosthuizen,65,"9' 3""",1132.167,122,137
179,T180,T180,Charley Hoffman,88,"9' 4""",1816.75,195,181
180,T180,T180,Sean O'Hair,84,"9' 4""",1499.1670000000001,161,121
181,T180,T180,Kevin Stadler,85,"9' 4""",1728.4170000000001,186,58
182,183,183,Mark Anderson,75,"9' 5""",1384.0,147,163
183,T184,T184,Stewart Cink,71,"9' 7""",1299.75,136,169
184,T184,T184,Mathew Goggin,65,"9' 7""",1084.25,113,105
185,186,186,Y.E. Yang,64,"9' 10""",1359.1670000000001,138,87
186,T187,T187,John Daly,50,"10' 0""",1084.0,108,174
187,T187,T187,Edward Loar,59,"10' 0""",998.25,100,190
188,189,189,Alexandre Rocha,62,"10' 2""",1066.25,105,160
189,190,190,Kyle Reifers,86,"10' 5""",1539.9170000000001,148,100
190,191,191,Steve Wheatcroft,56,"11' 1""",866.5,78,101
