,GIR_Pct._-_Fairway_Bunker_RANK THIS WEEK,GIR_Pct._-_Fairway_Bunker_RANK LAST WEEK,GIR_Pct._-_Fairway_Bunker_PLAYER NAME,GIR_Pct._-_Fairway_Bunker_ROUNDS,GIR_Pct._-_Fairway_Bunker_%,GIR_Pct._-_Fairway_Bunker_GREENS HIT,GIR_Pct._-_Fairway_Bunker_# HOLES,GIR_Pct._-_Fairway_Bunker_RELATIVE/PAR
40,41,41,Lee Janzen,84,53.5,38,71,-13.00
41,T42,T42,Charles Howell III,104,53.2,25,47,-8.00
42,T42,T42,Jonathan Kaye,79,53.2,25,47,-4.00
43,44,44,Carlos Franco,99,53.0,35,66,-6.00
44,T45,T45,Tim Clark,84,52.8,19,36,-3.00
45,T45,T45,Matt Gogel,86,52.8,28,53,-7.00
46,47,47,Hirofumi Miyase,65,52.4,11,21,-1.00
47,T48,T48,Shaun Micheel,93,51.9,28,54,-2.00
48,T48,T48,John Rollins,90,51.9,27,52,-6.00
49,50,50,Tom Byrum,83,51.6,16,31,-4.00
50,T51,T51,Craig Bowden,83,51.5,17,33,-3.00
51,T51,T51,Chris Smith,105,51.5,35,68,-7.00
52,T53,T53,Steve Elkington,64,51.2,21,41,-5.00
53,T53,T53,Kirk Triplett,88,51.2,21,41,-3.00
54,55,55,Neal Lancaster,106,51.1,45,88,E
55,56,56,D.J. Brigman,79,51.0,26,51,-4.00
56,T57,T57,Stephen Ames,97,50.8,30,59,-6.00
57,T57,T57,Craig Barlow,80,50.8,33,65,-4.00
58,T57,T57,Chad Campbell,100,50.8,31,61,-8.00
59,T57,T57,Todd Hamilton,92,50.8,32,63,-7.00
60,T57,T57,Matt Kuchar,83,50.8,30,59,-6.00
61,T57,T57,Tom Pernice Jr.,103,50.8,31,61,-6.00
62,T63,T63,Jesper Parnevik,86,50.7,35,69,-10.00
63,T63,T63,Jeff Sluman,98,50.7,36,71,-9.00
64,T65,T65,Woody Austin,94,50.0,31,62,-5.00
65,T65,T65,Cameron Beckman,99,50.0,23,46,-3.00
66,T65,T65,Danny Briggs,85,50.0,27,54,-8.00
67,T65,T65,Luke Donald,72,50.0,15,30,-1.00
68,T65,T65,Jay Haas,84,50.0,21,42,E
69,T65,T65,Cliff Kresge,89,50.0,38,76,-6.00
