,Percentage_of_potential_money_won_RANK THIS WEEK,Percentage_of_potential_money_won_RANK LAST WEEK,Percentage_of_potential_money_won_PLAYER NAME,Percentage_of_potential_money_won_EVENTS,Percentage_of_potential_money_won_%,Percentage_of_potential_money_won_OFFICIAL MONEY WON,Percentage_of_potential_money_won_POTENTIAL MONEY
139,140,140,Franklin Langham,1,3.16,"$30,720","$972,000"
140,141,141,Chris Stroud,24,3.12,"$673,106","$21,564,000"
141,142,142,Bob Estes,28,3.11,"$878,050","$28,188,000"
142,143,143,Shaun Micheel,29,3.09,"$948,195","$30,729,450"
143,144,144,Ben Crane,9,3.05,"$278,251","$9,135,000"
144,145,145,Cliff Kresge,30,3.01,"$901,549","$29,988,000"
145,146,146,Thongchai Jaidee,3,2.99,"$118,500","$3,960,000"
146,147,147,Jason Bohn,17,2.95,"$527,511","$17,874,000"
147,148,148,Hennie Otto,1,2.91,"$39,250","$1,350,000"
148,149,149,Ryan Armour,32,2.89,"$862,978","$29,862,000"
149,150,150,Rich Beem,29,2.88,"$868,657","$30,189,450"
150,151,151,Peter Hanson,3,2.86,"$116,159","$4,062,450"
151,152,152,Miguel Angel Jiménez,5,2.84,"$182,991","$6,447,450"
152,T153,T153,Tom Pernice Jr.,31,2.83,"$927,408","$32,781,450"
153,T153,T153,Lee Westwood,8,2.83,"$288,280","$10,191,450"
154,155,155,Chris Riley,17,2.81,"$403,199","$14,346,000"
155,156,156,Tom Watson,2,2.8,"$64,350","$2,295,000"
156,157,157,Ben Curtis,25,2.75,"$772,321","$28,103,450"
157,158,158,Prom Meesawat,1,2.72,"$36,750","$1,350,000"
158,T159,T159,Skip Kendall,5,2.69,"$116,345","$4,320,000"
159,T159,T159,Kevin Stadler,31,2.69,"$810,875","$30,180,450"
160,161,161,Mark Foster,1,2.68,"$41,352","$1,542,450"
161,162,162,Mathias Grönberg,31,2.67,"$785,179","$29,430,000"
162,163,163,Bob Heintz,27,2.66,"$649,341","$24,408,000"
163,164,164,Michael Sim,17,2.65,"$399,899","$15,102,000"
164,165,165,B.J. Staten,7,2.61,"$175,505","$6,732,000"
165,166,166,Anders Hansen,17,2.57,"$461,215","$17,976,450"
166,167,167,Marco Dawson,23,2.56,"$521,431","$20,358,000"
167,T168,T168,Dudley Hart,12,2.55,"$299,249","$11,754,000"
168,T168,T168,Brett Quigley,25,2.55,"$717,411","$28,173,450"
169,170,170,Robert Gamez,30,2.54,"$693,464","$27,324,000"
170,171,171,Todd Fischer,4,2.49,"$92,000","$3,690,000"
171,172,172,Parker McLachlin,28,2.47,"$627,582","$25,434,000"
172,173,173,John Merrick,29,2.45,"$649,438","$26,514,000"
173,174,174,Steve Lowery,22,2.39,"$502,621","$21,042,000"
174,175,175,Ted Purdy,33,2.38,"$758,734","$31,878,000"
175,176,176,Joe Durant,28,2.35,"$723,598","$30,785,450"
176,177,177,Thomas Bjørn,6,2.33,"$188,043","$8,067,450"
177,178,178,Craig Kanada,34,2.31,"$743,305","$32,184,000"
178,T179,T179,Kent Jones,30,2.29,"$651,108","$28,404,000"
179,T179,T179,Vance Veazey,9,2.29,"$185,208","$8,100,000"
180,181,181,Harrison Frazar,32,2.27,"$698,534","$30,816,000"
181,182,182,Tag Ridings,18,2.23,"$351,590","$15,732,000"
182,T183,T183,Shingo Katayama,7,2.21,"$194,927","$8,811,000"
183,T183,T183,Neal Lancaster,13,2.21,"$229,052","$10,368,000"
184,185,185,Garrett Willis,13,2.2,"$233,568","$10,620,000"
185,186,186,Andrew Buckle,26,2.16,"$513,630","$23,760,000"
186,T187,T187,Olin Browne,15,2.06,"$304,605","$14,814,000"
187,T187,T187,Bradley Dredge,4,2.06,"$112,533","$5,457,450"
188,189,189,Gavin Coles,28,2.0,"$511,352","$25,614,000"
189,190,190,Marcus Fraser,1,1.99,"$25,016","$1,260,000"
190,191,191,Frank Lickliter II,30,1.96,"$584,084","$29,844,000"
191,192,192,Corey Pavin,25,1.95,"$498,251","$25,508,000"
192,T193,T193,Ross Bain,1,1.93,"$29,820","$1,542,450"
193,T193,T193,Omar Uresti,4,1.93,"$64,350","$3,330,000"
194,T195,T195,Jay Delsing,12,1.92,"$181,808","$9,486,000"
195,T195,T195,Doug LaBelle II,33,1.92,"$604,632","$31,572,000"
196,T195,T195,Daisuke Maruyama,28,1.92,"$499,206","$25,974,000"
197,198,198,Brendon de Jonge,26,1.91,"$447,172","$23,382,000"
198,199,199,Jason Dufner,32,1.89,"$574,991","$30,420,000"
199,T200,T200,Billy Andrade,27,1.87,"$499,196","$26,658,000"
200,T200,T200,Dan Forsman,12,1.87,"$185,522","$9,918,000"
201,T200,T200,Dicky Pride,25,1.87,"$415,791","$22,284,000"
202,T203,T203,Jeff Gove,30,1.84,"$526,643","$28,566,000"
203,T203,T203,Lee Janzen,24,1.84,"$409,188","$22,230,000"
204,T203,T203,Chris Tidland,21,1.84,"$339,481","$18,450,000"
205,T206,T206,Jarrod Lyle,24,1.83,"$390,303","$21,294,000"
206,T206,T206,Ryan Palmer,30,1.83,"$524,987","$28,728,000"
207,208,208,Colin Montgomerie,9,1.8,"$216,988","$12,027,450"
208,209,209,Bob May,16,1.77,"$244,969","$13,806,000"
209,210,210,Won Joon Lee,1,1.73,"$26,735","$1,542,450"
210,211,211,Paul Stankowski,18,1.7,"$282,388","$16,614,000"
211,T212,T212,Bill Lunde,1,1.68,"$12,093","$720,000"
212,T212,T212,Duffy Waldorf,23,1.68,"$359,018","$21,396,450"
213,214,214,Sandy Lyle,2,1.67,"$47,493","$2,847,450"
214,T215,T215,Danny Ellis,2,1.66,"$28,770","$1,728,000"
215,T215,T215,David Howell,10,1.66,"$213,582","$12,837,450"
216,T215,T215,Charl Schwartzel,6,1.66,"$134,303","$8,112,450"
217,T218,T218,Glen Day,27,1.63,"$397,491","$24,354,000"
218,T218,T218,José Manuel Lara,2,1.63,"$32,250","$1,980,000"
219,220,220,Tripp Isenhour,32,1.59,"$471,980","$29,772,000"
220,T221,T221,John Bickerton,2,1.56,"$45,000","$2,892,450"
221,T221,T221,Greg Owen,29,1.56,"$426,601","$27,396,000"
222,T221,T221,Jeev Milkha Singh,12,1.56,"$227,679","$14,583,450"
223,224,224,Graeme McDowell,3,1.54,"$52,768","$3,432,450"
224,225,225,Y.E. Yang,9,1.53,"$170,980","$11,199,450"
225,T226,T226,Grégory Bourdy,1,1.52,"$23,393","$1,542,450"
226,T226,T226,Bob Tway,32,1.52,"$456,766","$30,024,000"
227,T228,T228,Craig Bowden,25,1.5,"$333,969","$22,284,000"
228,T228,T228,Michael Putnam,29,1.5,"$422,358","$28,146,450"
