,Longest_Drives_RANK THIS WEEK,Longest_Drives_RANK LAST WEEK,Longest_Drives_PLAYER NAME,Longest_Drives_ROUNDS,Longest_Drives_DISTANCE,Longest_Drives_TOURNAMENT,Longest_Drives_ROUND,Longest_Drives_HOLE,Longest_Drives_COURSE
29,T29,T29,Ryan Palmer,82,388,Shell Houston Open,2,17,729
30,T29,1,Dustin Johnson,72,388,AT&T Pebble Beach National Pro-Am,4,2,5
31,T29,5,Gary Woodland,93,388,The Open Championship,1,2,778
32,T33,T3,Bubba Watson,85,387,Hyundai Tournament of Champions,1,6,656
33,T33,T33,Scott Piercy,78,387,Reno-Tahoe Open,4,18,660
34,T33,T19,Josh Teater,104,387,The Honda Classic,1,4,734
35,T33,T33,Jason Day,76,387,Hyundai Tournament of Champions,1,17,656
36,T33,T33,Scott Stallings,84,387,World Golf Championships-Bridgestone Invitational,3,16,36
37,T38,T38,Phil Mickelson,79,386,the Memorial Tournament presented by Nationwide Insurance,3,18,23
38,T38,T38,Charley Hoffman,93,386,HP Byron Nelson Championship,2,1,19
39,T38,T33,Scott Piercy,78,386,HP Byron Nelson Championship,3,3,19
40,T38,T38,Scott Gordon,43,386,HP Byron Nelson Championship,3,1,19
41,T42,14,Robert Garrigus,83,385,Hyundai Tournament of Champions,3,18,656
42,T42,T3,Bubba Watson,85,385,Bob Hope Classic,1,2,741
43,T42,T42,Michael Letzig,33,385,Shell Houston Open,2,8,729
44,T42,T42,Jeff Overton,92,385,The Honda Classic,3,4,734
45,T46,8,Steve Flesch,88,384,Valero Texas Open,2,17,770
46,T46,T19,Josh Teater,104,384,Reno-Tahoe Open,4,9,660
47,T46,T22,Kyle Stanley,98,384,HP Byron Nelson Championship,4,1,19
48,T46,5,Gary Woodland,93,384,HP Byron Nelson Championship,4,1,19
49,T50,T50,Vijay Singh,79,383,HP Byron Nelson Championship,4,3,19
50,T50,14,Robert Garrigus,83,383,Reno-Tahoe Open,3,18,660
51,T50,T19,Josh Teater,104,383,Reno-Tahoe Open,3,9,660
52,T50,T50,Michael Putnam,67,383,Valero Texas Open,2,17,770
53,T50,1,Dustin Johnson,72,383,Hyundai Tournament of Champions,4,18,656
54,T55,T55,Stuart Appleby,65,382,Hyundai Tournament of Champions,2,12,656
55,T55,T29,Ryan Palmer,82,382,HP Byron Nelson Championship,3,1,19
56,T55,T55,Michael Thompson,79,382,Viking Classic,2,14,609
57,T58,8,Steve Flesch,88,381,Reno-Tahoe Open,4,18,660
58,T58,T58,Harrison Frazar,58,381,Shell Houston Open,2,8,729
59,T58,T29,Ryan Palmer,82,381,HP Byron Nelson Championship,3,3,19
60,T58,T3,Bubba Watson,85,381,The Open Championship,4,1,778
61,T58,T3,Bubba Watson,85,381,World Golf Championships-Bridgestone Invitational,3,9,36
62,T58,T58,Colt Knost,80,381,Reno-Tahoe Open,1,1,660
63,T64,T64,Bo Van Pelt,92,380,The Open Championship,1,2,778
64,T64,T64,Sean O'Hair,71,380,World Golf Championships-Bridgestone Invitational,1,3,36
65,T64,T64,Steven Bowditch,86,380,HP Byron Nelson Championship,3,3,19
66,T64,T42,Michael Letzig,33,380,Reno-Tahoe Open,3,8,660
67,T64,T33,Jason Day,76,380,The Open Championship,2,1,778
68,T64,T42,Jeff Overton,92,380,HP Byron Nelson Championship,3,3,19
69,T64,1,Dustin Johnson,72,380,PGA Championship,2,5,780
70,T64,T64,Sam Smith,2,380,HP Byron Nelson Championship,2,3,19
71,T72,T72,Kenny Perry,36,379,Waste Management Phoenix Open,1,8,510
72,T72,14,Robert Garrigus,83,379,The Heritage,4,5,12
73,T72,T72,Peter Tomasulo,36,379,Reno-Tahoe Open,3,8,660
74,T72,1,Dustin Johnson,72,379,the Memorial Tournament presented by Nationwide Insurance,3,17,23
75,T72,T22,Zack Miller,86,379,Valero Texas Open,2,10,770
76,T72,T72,Cameron Tringale,110,379,Valero Texas Open,4,15,770
77,T78,T38,Phil Mickelson,79,378,the Memorial Tournament presented by Nationwide Insurance,3,17,23
78,T78,T38,Charley Hoffman,93,378,HP Byron Nelson Championship,2,3,19
