,Average_Distance_of_Putts_made_RANK THIS WEEK,Average_Distance_of_Putts_made_RANK LAST WEEK,Average_Distance_of_Putts_made_PLAYER NAME,Average_Distance_of_Putts_made_ROUNDS,Average_Distance_of_Putts_made_AVG,Average_Distance_of_Putts_made_TOTAL DIST. (INCHES),Average_Distance_of_Putts_made_TOTAL ROUNDS,Average_Distance_of_Putts_made_AVG DIST.,Average_Distance_of_Putts_made_BEST ROUND
63,64,64,Dean Wilson,86,"79' 4""",74251,78,"4' 6""","179' 10"""
64,T65,T65,Fred Funk,102,"79' 3""",78009,82,"4' 5""","152' 8"""
65,T65,T65,Brandt Jobe,96,"79' 3""",76093,80,"4' 5""","151' 7"""
66,T65,T65,Hank Kuehne,84,"79' 3""",69420,73,"4' 6""","130' 2"""
67,T68,T68,K.J. Choi,78,"79' 2""",51306,54,"4' 6""","131' 4"""
68,T68,T68,Daniel Chopra,108,"79' 2""",86405,91,"4' 6""","166' 1"""
69,T68,T68,Tom Gillis,77,"79' 2""",63626,67,"4' 5""","152' 0"""
70,T71,T71,Geoff Ogilvy,97,"79' 1""",69244,73,"4' 5""","140' 2"""
71,T71,T71,Kirk Triplett,55,"79' 1""",41773,44,"4' 5""","125' 0"""
72,73,73,José María Olazábal,55,"79' 0""",38881,41,"4' 5""","128' 8"""
73,T74,T74,Tom Pernice Jr.,111,"78' 11""",82406,87,"4' 5""","173' 5"""
74,T74,T74,Mario Tiziani,67,"78' 11""",55848,59,"4' 5""","148' 1"""
75,76,76,Matt Kuchar,60,"78' 10""",51097,54,"4' 5""","124' 6"""
76,T77,T77,Jonathan Byrd,103,"78' 9""",86908,92,"4' 5""","161' 10"""
77,T77,T77,Stephen Leaney,89,"78' 9""",69910,74,"4' 5""","151' 2"""
78,79,79,Woody Austin,100,"78' 8""",84047,89,"4' 5""","139' 5"""
79,T80,T80,Tom Byrum,83,"78' 7""",71657,76,"4' 5""","136' 11"""
80,T80,T80,Jeff Maggert,79,"78' 7""",56574,60,"4' 5""","135' 4"""
81,T82,T82,Stuart Appleby,84,"78' 6""",59348,63,"4' 5""","167' 3"""
82,T82,T82,Scott Hend,75,"78' 6""",59368,63,"4' 5""","157' 0"""
83,T84,T84,Danny Briggs,70,"78' 4""",56414,60,"4' 5""","142' 10"""
84,T84,T84,Pat Perez,89,"78' 4""",67656,72,"4' 5""","188' 4"""
85,T84,T84,Kenny Perry,82,"78' 4""",56386,60,"4' 5""","153' 5"""
86,87,87,Darron Stiles,78,"78' 3""",63853,68,"4' 5""","177' 2"""
87,T88,T88,J.P. Hayes,63,"78' 2""",49691,53,"4' 5""","135' 7"""
88,T88,T88,Rob Rashell,65,"78' 2""",49712,53,"4' 5""","157' 7"""
89,T88,T88,Tag Ridings,93,"78' 2""",76881,82,"4' 5""","145' 10"""
90,91,91,Hunter Haas,83,"78' 1""",66507,71,"4' 5""","140' 10"""
91,92,92,Thomas Levet,54,"78' 0""",33713,36,"4' 5""","148' 9"""
92,T93,T93,John Cook,72,"77' 11""",53293,57,"4' 5""","157' 5"""
