,Early_Par_4_Scoring_Average_RANK THIS WEEK,Early_Par_4_Scoring_Average_RANK LAST WEEK,Early_Par_4_Scoring_Average_PLAYER NAME,Early_Par_4_Scoring_Average_ROUNDS,Early_Par_4_Scoring_Average_AVG,Early_Par_4_Scoring_Average_TOTAL STROKES,Early_Par_4_Scoring_Average_TOTAL HOLES
43,T37,T37,Kevin Na,91,3.99,1945,488
44,T37,T37,Alex Noren,67,3.99,1316,330
45,T37,T37,Cameron Smith,85,3.99,1689,423
46,T37,T37,Kevin Streelman,94,3.99,2127,533
47,T37,T37,Gary Woodland,96,3.99,1810,454
48,T49,T49,Daniel Berger,81,4.0,1912,478
49,T49,T49,Paul Casey,74,4.0,1676,419
50,T49,T49,Adam Hadwin,92,4.0,2291,573
51,T49,T49,Brandon Harkins,101,4.0,2314,578
52,T49,T49,Tom Hoge,101,4.0,2130,532
53,T49,T49,Matt Jones,70,4.0,1357,339
