,Consecutive_Birdies_Streak_RANK THIS WEEK,Consecutive_Birdies_Streak_RANK LAST WEEK,Consecutive_Birdies_Streak_PLAYER NAME,Consecutive_Birdies_Streak_EVENTS,Consecutive_Birdies_Streak_NUMBER OF HOLES
457,T446,T446,Phil Blackmar,2,1
458,T446,T446,James Blair,1,1
459,T446,T446,Ray Boone,1,1
460,T446,T446,Steve Bowman,1,1
461,T446,T446,Bob Boyd,1,1
462,T446,T446,Steve Brady,1,1
463,T446,T446,Leigh Brannan,1,1
464,T446,T446,CJ Brock,1,1
465,T446,T446,Tam Bronkey,1,1
466,T446,T446,Mark Brown,1,1
467,T446,T446,Jeff Burns,1,1
468,T446,T446,Jerry Burton,1,1
469,T446,T446,Rodney Butcher,1,1
470,T446,T446,Brian Cairns,1,1
471,T446,T446,Matt Cannon,1,1
472,T446,T446,Brett Carmen,1,1
473,T446,T446,Billy Casper,1,1
474,T446,T446,Dave Christensen,1,1
475,T446,T446,Brian Conser,1,1
476,T446,T446,Charles Coody,1,1
477,T446,T446,Graham Cooke,1,1
478,T446,T446,Chip Craig,1,1
479,T446,T446,Rod Curl,1,1
480,T446,T446,Clark Dennis,1,1
481,T446,T446,Paul Dickinson,1,1
482,T446,T446,Mike Donald,3,1
483,T446,T446,Billy Downes,1,1
484,T446,T446,John Drewery,1,1
485,T446,T446,Paul Earnest,1,1
486,T446,T446,David Edwards,1,1
487,T446,T446,Eric Egloff,1,1
488,T446,T446,Chris Endres,1,1
489,T446,T446,Michael Fergin,1,1
490,T446,T446,Todd Fischer,1,1
491,T446,T446,Raymond Floyd,2,1
492,T446,T446,Robert Ford,1,1
493,T446,T446,George Frake II,1,1
494,T446,T446,Will Frantz,2,1
495,T446,T446,Jeff Freeman,1,1
496,T446,T446,Brad Fritsch,1,1
497,T446,T446,Keiichiro Fukabori,1,1
498,T446,T446,Kevin Giancola,1,1
499,T446,T446,Jeff Gniewek,1,1
500,T446,T446,Chris Gonzales,2,1
501,T446,T446,Jeff Gove,1,1
502,T446,T446,"Daniel Grannan, Jr.",1,1
503,T446,T446,Chris Greenwood,1,1
504,T446,T446,Mathias Grönberg,4,1
505,T446,T446,Don Hachey,1,1
506,T446,T446,Dan Halldorson,2,1
