,Percentage_of_Available_Purse_Won_RANK THIS WEEK,Percentage_of_Available_Purse_Won_RANK LAST WEEK,Percentage_of_Available_Purse_Won_PLAYER NAME,Percentage_of_Available_Purse_Won_EVENTS,Percentage_of_Available_Purse_Won_%,Percentage_of_Available_Purse_Won_OFFICIAL MONEY WON,Percentage_of_Available_Purse_Won_TOTAL PURSE AVAILABLE
211,T211,T211,Trevor Immelman,19,0.37,"$422,169","$113,500,000"
212,T211,T211,Simon Khan,4,0.37,"$114,021","$30,500,000"
213,T211,T211,Michael Letzig,27,0.37,"$563,727","$152,300,000"
214,T211,T211,Brian Stuard,28,0.37,"$536,496","$144,900,000"
215,T216,T216,Seungsu Han,1,0.36,"$10,812","$3,000,000"
216,T216,T216,Santiago Luna,1,0.36,"$12,960","$3,600,000"
217,T218,T218,Grégory Bourdy,2,0.34,"$54,475","$16,000,000"
218,T218,T218,James Driscoll,26,0.34,"$500,622","$145,400,000"
219,T218,T218,Anders Hansen,6,0.34,"$151,000","$45,000,000"
220,T218,T218,Skip Kendall,18,0.34,"$304,438","$90,600,000"
221,T218,T218,Nicholas Thompson,29,0.34,"$546,474","$158,400,000"
222,T223,T223,Yuta Ikeda,11,0.33,"$263,713","$79,100,000"
223,T223,T223,James Nitties,30,0.33,"$525,032","$160,900,000"
224,T223,T223,Jay Williamson,24,0.33,"$404,496","$123,300,000"
225,T226,T226,Chris DiMarco,25,0.32,"$409,203","$127,400,000"
226,T226,T226,Steve Flesch,25,0.32,"$440,373","$138,400,000"
227,T228,T228,Jason Allred,1,0.31,"$23,385","$7,500,000"
228,T228,T228,Rafa Cabrera Bello,1,0.31,"$23,385","$7,500,000"
229,T228,T228,Mathew Goggin,28,0.31,"$483,537","$158,300,000"
230,T228,T228,Soren Hansen,7,0.31,"$170,750","$55,000,000"
231,T228,T228,Jim Herman,1,0.31,"$23,385","$7,500,000"
232,T228,T228,Tim Herron,24,0.31,"$391,499","$127,500,000"
233,T228,T228,Brett Quigley,29,0.31,"$497,294","$159,700,000"
234,235,235,Darren Clarke,2,0.3,"$43,274","$14,500,000"
235,T236,T236,Ross Fisher,10,0.29,"$217,795","$76,400,000"
236,T236,T236,Mathias Grönberg,22,0.29,"$322,128","$111,700,000"
237,T236,T236,Garth Mulroy,19,0.29,"$287,117","$98,500,000"
238,T236,T236,Danny Wax,1,0.29,"$14,450","$5,000,000"
239,T236,T236,Steve Wheatcroft,27,0.29,"$408,594","$140,400,000"
240,T241,T241,Shane Bertsch,4,0.28,"$57,107","$20,500,000"
