,Carry_Efficiency_RANK THIS WEEK,Carry_Efficiency_RANK LAST WEEK,Carry_Efficiency_PLAYER NAME,Carry_Efficiency_ROUNDS,Carry_Efficiency_AVG.,Carry_Efficiency_AVERAGE CARRY DIST. YARDS,Carry_Efficiency_AVERAGE CLUB HEAD SPEED,Carry_Efficiency_TOTAL ATTEMPTS,Carry_Efficiency_HIGHEST CARRY EFFICIENCY
34,T35,T35,Padraig Harrington,64,2.4090000000000003,280.0,116.23299999999999,32,2.7239999999999998
35,T35,T35,Brandt Snedeker,105,2.4090000000000003,264.1,109.589,55,2.6510000000000002
36,T37,T37,Billy Andrade,88,2.408,269.8,112.02799999999999,54,2.645
37,T37,T37,Joe Ogilvie,102,2.408,266.6,110.721,50,2.676
38,T37,T37,Vijay Singh,102,2.408,275.4,114.40100000000001,47,2.7239999999999998
39,40,40,David Toms,80,2.407,261.7,108.74,50,2.6289999999999996
40,T41,T41,Harrison Frazar,88,2.406,284.3,118.13600000000001,35,2.6830000000000003
41,T41,T41,Cliff Kresge,107,2.406,264.2,109.821,63,2.6430000000000002
42,T43,T43,Steve Stricker,81,2.405,266.0,110.57600000000001,47,2.557
43,T43,T43,Bubba Watson,80,2.405,300.3,124.865,17,2.659
44,T45,T45,Briny Baird,115,2.4019999999999997,265.7,110.63799999999999,54,2.7230000000000003
45,T45,T45,D.J. Brigman,67,2.4019999999999997,267.8,111.46700000000001,31,2.64
46,T45,T45,Steve Marino,106,2.4019999999999997,272.2,113.32,44,2.6919999999999997
47,T48,T48,Mark Hensby,81,2.401,262.8,109.45700000000001,46,2.615
48,T48,T48,D.J. Trahan,99,2.401,274.1,114.156,40,2.7969999999999997
49,50,50,Charley Hoffman,97,2.399,286.6,119.499,53,2.7489999999999997
50,T51,T51,Stewart Cink,91,2.398,274.4,114.427,55,2.614
51,T51,T51,Bill Haas,93,2.398,285.0,118.83200000000001,38,2.6189999999999998
52,T51,T51,Peter Lonard,85,2.398,270.3,112.723,44,2.6689999999999996
53,T54,T54,Eric Axley,107,2.396,266.4,111.17200000000001,44,2.763
54,T54,T54,Brian Davis,101,2.396,258.7,107.956,54,2.6
55,T54,T54,Mathias Grönberg,95,2.396,274.2,114.458,50,2.609
56,T54,T54,Bob Heintz,85,2.396,261.7,109.215,39,2.675
57,58,58,Camilo Villegas,82,2.395,277.7,115.946,33,2.5810000000000004
58,T59,T59,Cameron Beckman,96,2.394,264.0,110.292,45,2.68
59,T59,T59,Jason Schultz,63,2.394,271.7,113.507,26,2.5580000000000003
60,T61,T61,Tommy Armour III,81,2.3930000000000002,260.6,108.885,39,2.752
61,T61,T61,Kent Jones,97,2.3930000000000002,265.3,110.88600000000001,55,2.6069999999999998
62,T63,T63,Jason Gore,86,2.392,283.7,118.605,40,2.611
63,T63,T63,Jerry Kelly,101,2.392,258.1,107.906,52,2.642
64,T63,T63,Anthony Kim,93,2.392,283.9,118.698,43,2.559
65,66,66,Brett Quigley,79,2.391,272.9,114.15299999999999,33,2.6210000000000004
66,T67,T67,Robert Gamez,88,2.39,256.3,107.274,40,2.668
67,T67,T67,Matt Hendrix,63,2.39,276.9,115.83200000000001,28,2.596
68,T67,T67,John Mallinger,96,2.39,257.3,107.68299999999999,50,2.673
69,70,70,Stephen Leaney,82,2.3890000000000002,255.8,107.085,35,2.633
70,T71,T71,Jason Bohn,57,2.388,268.2,112.314,32,2.6039999999999996
71,T71,T71,Bo Van Pelt,104,2.388,274.8,115.089,39,2.569
72,73,73,Chris DiMarco,79,2.387,260.0,108.92299999999999,32,2.57
73,74,74,Scott Gutschewski,67,2.386,284.9,119.42399999999999,26,2.633
74,75,75,Paul Stankowski,52,2.385,275.0,115.303,19,2.5839999999999996
75,76,76,Chris Couch,76,2.384,288.5,121.025,35,2.7310000000000003
76,77,77,Rocco Mediate,72,2.3819999999999997,263.4,110.552,41,2.574
77,78,78,Chris Stroud,66,2.381,268.5,112.77799999999999,25,2.597
78,T79,T79,K.J. Choi,87,2.38,267.6,112.45700000000001,48,2.576
79,T79,T79,Tim Clark,66,2.38,253.3,106.389,41,2.5669999999999997
80,T79,T79,Retief Goosen,50,2.38,281.3,118.175,18,2.521
81,T79,T79,Ryuji Imada,104,2.38,261.4,109.833,61,2.617
82,T79,T79,Shigeki Maruyama,84,2.38,252.0,105.91,37,2.648
83,T79,T79,Nick O'Hern,72,2.38,257.6,108.238,37,2.6319999999999997
84,T79,T79,John Rollins,102,2.38,273.2,114.76,44,2.653
85,T86,T86,Kenny Perry,83,2.379,270.4,113.667,41,2.55
86,T86,T86,Carl Pettersson,111,2.379,270.3,113.603,61,2.819
87,T86,T86,Ted Purdy,102,2.379,272.9,114.693,46,2.725
88,89,89,Sean O'Hair,98,2.378,275.1,115.71,57,2.8289999999999997
89,T90,T90,Stuart Appleby,74,2.377,273.7,115.116,40,2.6639999999999997
90,T90,T90,John Merrick,92,2.377,268.8,113.094,48,2.6239999999999997
