,Proximity_to_Hole_from_30_yards_RANK THIS WEEK,Proximity_to_Hole_from_30_yards_RANK LAST WEEK,Proximity_to_Hole_from_30_yards_PLAYER NAME,Proximity_to_Hole_from_30_yards_ROUNDS,Proximity_to_Hole_from_30_yards_AVG DTP,Proximity_to_Hole_from_30_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_30_yards_# OF SHOTS,Proximity_to_Hole_from_30_yards_SCRAMBLING RANK
44,T42,T42,David Duval,51,"11' 5""",512.0830000000001,45,195
45,T42,T42,Ernie Els,51,"11' 5""",274.58299999999997,24,112
46,T42,T42,Ted Purdy,68,"11' 5""",603.6669999999999,53,123
47,T48,T48,Tommy Armour III,77,"11' 6""",426.0,37,132
48,T48,T48,Olin Browne,77,"11' 6""",461.083,40,113
49,T48,T48,Brian Davis,108,"11' 6""",966.0,84,17
50,T48,T48,Jason Day,81,"11' 6""",1009.1669999999999,88,94
51,T48,T48,Todd Demsey,80,"11' 6""",747.9169999999999,65,65
52,T48,T48,Ryuji Imada,80,"11' 6""",805.5,70,34
53,T48,T48,Lee Janzen,89,"11' 6""",646.1669999999999,56,91
54,T48,T48,Doug LaBelle II,65,"11' 6""",412.833,36,68
55,T48,T48,Will MacKenzie,62,"11' 6""",596.8330000000001,52,130
56,T48,T48,Jin Park,85,"11' 6""",667.6669999999999,58,128
57,T48,T48,Carl Pettersson,110,"11' 6""",954.0830000000001,83,49
58,T48,T48,Rory Sabbatini,77,"11' 6""",642.3330000000001,56,122
59,T48,T48,Camilo Villegas,79,"11' 6""",561.5830000000001,49,171
60,T48,T48,Y.E. Yang,89,"11' 6""",687.6669999999999,60,137
61,T62,T62,Alex Cejka,75,"11' 7""",565.8330000000001,49,140
62,T62,T62,Brian Gay,102,"11' 7""",704.8330000000001,61,1
63,T62,T62,Retief Goosen,59,"11' 7""",324.91700000000003,28,76
64,T65,T65,Geoff Ogilvy,65,"11' 8""",420.583,36,38
65,T65,T65,Kenny Perry,97,"11' 8""",723.9169999999999,62,90
66,T65,T65,Chris Riley,51,"11' 8""",465.083,40,2
67,T65,T65,Nick Watney,96,"11' 8""",884.1669999999999,76,101
68,T69,T69,Aaron Baddeley,76,"11' 9""",812.5830000000001,69,60
69,T69,T69,Shane Bertsch,96,"11' 9""",810.0830000000001,69,18
70,T69,T69,Carlos Franco,73,"11' 9""",562.8330000000001,48,153
71,T69,T69,Harrison Frazar,73,"11' 9""",730.4169999999999,62,175
72,T69,T69,Shigeki Maruyama,50,"11' 9""",553.75,47,14
