,Club_Head_Speed_RANK THIS WEEK,Club_Head_Speed_RANK LAST WEEK,Club_Head_Speed_PLAYER NAME,Club_Head_Speed_ROUNDS,Club_Head_Speed_AVG.,Club_Head_Speed_TOTAL CLUB HEAD SPEED,Club_Head_Speed_TOTAL ATTEMPTS,Club_Head_Speed_FASTEST SPEED,Club_Head_Speed_SLOWEST SPEED
43,44,44,Justin Rose,70,117.0,4562.88,39,122.61,112.31
44,T45,T45,Ricky Barnes,65,116.94,3859.02,33,121.06,113.64
45,T45,T45,Hideki Matsuyama,75,116.94,4794.44,41,119.39,113.54
46,47,47,Brendan Steele,74,116.88,5259.56,45,121.73,113.69
47,48,48,Pat Perez,82,116.79,4788.47,41,120.21,112.85
48,T49,T49,Harris English,84,116.77,7473.54,64,119.23,112.15
49,T49,T49,Harold Varner III,91,116.77,8057.21,69,122.68,112.25
50,51,51,Brandon Harkins,101,116.76,8173.42,70,121.96,113.0
51,52,52,Ryan Palmer,69,116.66,6183.04,53,121.2,112.5
52,53,53,Zecheng Dou,53,116.53,3612.39,31,120.44,107.76
53,54,54,Phil Mickelson,90,116.48,5707.6,49,121.44,106.59
54,55,55,Matt Atkins,56,116.19,4298.85,37,119.38,112.35
55,56,56,Jamie Lovemark,92,116.14,7781.23,67,120.96,112.39
56,57,57,Ethan Tracy,72,115.99,5335.74,46,121.06,112.35
57,58,58,Rickie Fowler,74,115.89,4983.17,43,119.66,112.16
58,59,59,Henrik Stenson,60,115.85,1969.44,17,118.51,112.91
59,60,60,Charley Hoffman,87,115.76,6366.99,55,119.71,112.27
