,3-Putt_Avoidance__25_RANK THIS WEEK,3-Putt_Avoidance__25_RANK LAST WEEK,3-Putt_Avoidance__25_PLAYER NAME,3-Putt_Avoidance__25_ROUNDS,3-Putt_Avoidance__25_%,3-Putt_Avoidance__25_TOTAL 3 PUTTS,3-Putt_Avoidance__25_ATTEMPTS,3-Putt_Avoidance__25_2 PUTT OR BETTER %
176,177,177,Peter Uihlein,83,12.42,37,298,87.5
177,178,178,Adam Scott,78,12.46,36,289,87.5
178,179,179,Brian Harman,94,12.54,40,319,87.4
179,180,180,Jhonattan Vegas,92,12.63,37,293,87.3
180,181,181,Scott Piercy,84,12.66,40,316,87.3
181,182,182,Matt Atkins,56,12.72,22,173,87.2
182,183,183,Keith Mitchell,99,12.85,50,389,87.1
183,184,184,Xinjun Zhang,81,13.13,39,297,86.8
184,185,185,Tom Hoge,101,13.36,39,292,86.6
185,186,186,Ryan Palmer,69,14.05,34,242,85.9
186,187,187,Hudson Swafford,73,14.11,35,248,85.8
187,188,188,Kyle Thompson,50,14.81,20,135,85.1
188,189,189,Robert Garrigus,80,15.69,43,274,84.3
189,190,190,Zecheng Dou,53,15.89,24,151,84.1
190,191,191,Satoshi Kodaira,51,16.18,28,173,83.8
191,192,192,Kevin Chappell,77,16.36,44,269,83.6
192,193,193,Grayson Murray,72,16.59,37,223,83.4
