,Putting_Average_RANK THIS WEEK,Putting_Average_RANK LAST WEEK,Putting_Average_PLAYER NAME,Putting_Average_ROUNDS,Putting_Average_AVG,Putting_Average_GIR PUTTS,Putting_Average_GREENS HIT,Putting_Average_BIRDIE CONVERSION,Putting_Average_GIR RANK
167,T167,T167,Jason Schultz,77,1.808,1542,853,27.73,T153
168,T167,T167,Tjaart van der Walt,60,1.808,1197,662,25.45,T122
169,T170,T170,"John Engler, Jr.",69,1.8090000000000002,1304,721,25.28,188
170,T170,T170,Ryan Hietala,61,1.8090000000000002,1154,638,26.96,186
171,T170,T170,Steve Jones,83,1.8090000000000002,1677,927,26.24,163
172,T170,T170,Will MacKenzie,91,1.8090000000000002,1948,1077,28.65,25
173,174,174,Paul Stankowski,70,1.811,1503,830,26.9,T84
174,T175,T175,Bart Bryant,87,1.8119999999999998,1926,1063,24.95,16
175,T175,T175,Greg Owen,79,1.8119999999999998,1721,950,28.87,18
176,T177,T177,Jeff Gove,91,1.8130000000000002,2045,1128,25.8,2
177,T177,T177,Kenny Perry,73,1.8130000000000002,1615,891,26.46,15
178,179,179,Carlos Franco,86,1.814,1830,1009,27.98,110
179,180,180,Corey Pavin,74,1.815,1454,801,23.43,145
180,181,181,Fred Couples,52,1.8159999999999998,1068,588,27.01,100
181,T182,T182,James Driscoll,80,1.817,1604,883,28.83,181
182,T182,T182,Steve Elkington,52,1.817,1161,639,24.96,T8
183,184,184,Michael Connell,51,1.819,1008,554,26.4,133
184,T185,T185,Charles Howell III,96,1.8230000000000002,2011,1103,26.23,83
185,T185,T185,Mike Sposa,68,1.8230000000000002,1347,739,26.93,T155
186,T187,T187,Mathew Goggin,72,1.824,1543,846,27.78,44
187,T187,T187,Peter Lonard,77,1.824,1576,864,25.35,T155
188,T187,T187,Hidemichi Tanaka,74,1.824,1388,761,23.92,195
189,190,190,Tom Lehman,70,1.827,1301,712,24.37,81
190,191,191,Jonathan Kaye,95,1.828,2071,1133,25.8,19
191,192,192,Nicholas Thompson,96,1.829,2001,1094,27.17,99
192,193,193,Roger Tambellini,64,1.8330000000000002,1316,718,26.43,95
193,194,194,Jon Mills,68,1.835,1367,745,24.36,165
194,195,195,Matt Hansen,68,1.839,1462,795,27.36,48
195,196,196,Thomas Levet,53,1.851,1120,605,23.71,82
