,Bonus_Putting_RANK THIS WEEK,Bonus_Putting_RANK LAST WEEK,Bonus_Putting_PLAYER NAME,Bonus_Putting_ROUNDS,Bonus_Putting_VALUE,Bonus_Putting_ATTEMPTS(<= 5'),Bonus_Putting_TOT MADE (>=20'),Bonus_Putting_TOT MADE (<= 5')
34,T34,T34,Dawie van der Walt,72,100.37,806,21,788
35,T36,T36,Matt Kuchar,100,100.36,1098,39,1063
36,T36,T36,Francesco Molinari,64,100.36,843,27,819
37,T36,T36,Patrick Reed,105,100.36,1102,32,1074
38,39,39,Adam Hadwin,93,100.34,1191,33,1162
39,40,40,Ryan Moore,86,100.33,918,34,887
40,41,41,Kyle Reifers,115,100.29,1364,50,1318
41,42,42,Jhonattan Vegas,97,100.27,1124,42,1085
42,43,43,Brooks Koepka,75,100.25,808,33,777
43,44,44,Bryce Molder,80,100.21,933,26,909
44,45,45,Scott Langley,65,100.13,773,21,753
45,46,46,Martin Laird,82,100.1,1006,24,983
46,47,47,Jon Curran,99,100.09,1167,28,1140
47,48,48,William McGirt,98,100.08,1257,41,1217
48,T49,T49,Mark Hubbard,101,100.0,1169,38,1131
49,T49,T49,Dicky Pride,55,100.0,590,27,563
50,51,51,Spencer Levin,104,99.92,1196,34,1161
51,T52,T52,Derek Fathauer,94,99.91,1078,35,1042
52,T52,T52,Kyle Stanley,92,99.91,1131,31,1099
53,T54,T54,Emiliano Grillo,93,99.9,1036,26,1009
54,T54,T54,Smylie Kaufman,91,99.9,1001,32,968
55,56,56,Brendon de Jonge,83,99.89,924,24,899
56,57,57,Jason Gore,78,99.88,838,25,812
57,58,58,Bubba Watson,72,99.87,756,20,735
58,T59,T59,Steve Stricker,53,99.84,632,22,609
59,T59,T59,Hudson Swafford,104,99.84,1286,35,1249
