,Approaches_from__275_yards_Rgh_RANK THIS WEEK,Approaches_from__275_yards_Rgh_RANK LAST WEEK,Approaches_from__275_yards_Rgh_PLAYER NAME,Approaches_from__275_yards_Rgh_ROUNDS,Approaches_from__275_yards_Rgh_AVG,Approaches_from__275_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from__275_yards_Rgh_# OF ATTEMPTS,Approaches_from__275_yards_Rgh_RELATIVE TO PAR
160,161,161,Cameron Tringale,67,"121' 7""",486.25,4,-1
161,162,162,Abraham Ancer,98,"122' 2""",732.9169999999999,6,+2
162,163,163,Bud Cauley,55,"122' 3""",122.25,1,E
163,164,164,Ethan Tracy,72,"124' 1""",124.083,1,E
164,165,165,Cameron Percy,56,"124' 9""",124.75,1,E
165,166,166,Lanto Griffin,80,"125' 2""",500.583,4,+1
166,167,167,Emiliano Grillo,94,"125' 11""",377.667,3,-1
167,168,168,Brian Stuard,103,"127' 2""",127.167,1,+1
168,169,169,Matt Jones,70,"127' 6""",127.5,1,-1
169,170,170,"Ted Potter, Jr.",87,"128' 5""",256.75,2,-1
170,171,171,Martin Piller,79,"130' 10""",523.4169999999999,4,+1
171,172,172,Bill Haas,76,"132' 4""",396.917,3,E
172,173,173,Bronson Burgoon,69,"132' 10""",265.58299999999997,2,-1
173,174,174,Adam Hadwin,92,"133' 8""",133.667,1,E
174,175,175,Nick Watney,94,"134' 3""",134.25,1,+1
175,176,176,Keegan Bradley,98,"135' 6""",271.0,2,-2
176,177,177,Marc Leishman,93,"140' 2""",280.25,2,E
177,178,178,Greg Chalmers,56,"140' 10""",140.833,1,E
178,179,179,Ben Silverman,90,"147' 11""",147.917,1,E
179,180,180,Cameron Smith,85,"154' 6""",154.5,1,E
180,181,181,D.A. Points,63,"165' 3""",165.25,1,E
181,182,182,Xinjun Zhang,81,"175' 11""",175.917,1,E
